idx,dis,dis_value,par,q_home,q_away
1,1798,,,,
2,,,,0.0,0.0
3,,,,0.0,0.0
4,1321,,1,,
5,24,,1,,
6,2119,,4,,
7,240,,4,,
8,2991,,6,,
9,1395,,6,,
10,320,,7,,
11,0,,7,,
12,400,,10,,
13,1474,,10,,
14,1717,,12,,
15,1555,,12,,
16,1317,,8,,
17,0,,8,,
18,2354,,16,,
19,25,,16,,
20,,,17,1.0,0.0
21,24,,17,,
22,20,,21,,
23,,,21,1.0,0.0
24,2120,,9,,
25,,,9,0.5,0.5
26,518,,14,,
27,579,,14,,
28,560,,5,,
29,521,,5,,
30,1040,,28,,
31,,,28,0.888888888889,0.111111111111
32,1120,,30,,
33,1950,,30,,
34,1200,,32,,
35,1136,,32,,
36,1292,,34,,
37,1547,,34,,
38,1302,,36,,
39,,,36,1.0,0.0
40,1303,,38,,
41,,,38,1.0,0.0
42,1304,,40,,
43,,,40,1.0,0.0
44,2594,,18,,
45,15,,18,,
46,1397,,44,,
47,160,,44,,
48,1305,,42,,
49,,,42,1.0,0.0
50,1468,,22,,
51,98,,22,,
52,,,24,0.714285714286,0.285714285714
53,1956,,24,,
54,3158,,53,,
55,1391,,53,,
56,,,55,1.0,0.0
57,,,55,1.0,0.0
58,1306,,26,,
59,1305,,26,,
60,1563,,58,,
61,492,,58,,
62,,,60,0.75,0.25
63,1360,,60,,
64,1392,,11,,
65,,,11,0.75,0.25
66,1306,,48,,
67,,,48,1.0,0.0
68,1307,,66,,
69,,,66,1.0,0.0
70,1308,,68,,
71,,,68,1.0,0.0
72,1309,,70,,
73,,,70,1.0,0.0
74,1298,,72,,
75,,,72,1.0,0.0
76,1561,,46,,
77,0,,46,,
78,1316,,76,,
79,1402,,76,,
80,2753,,78,,
81,2599,,78,,
82,36,,19,,
83,,,19,0.75,0.25
84,,,15,1.0,0.0
85,,,15,1.0,0.0
86,,,13,1.0,0.0
87,,,13,0.333333333333,0.666666666667
88,,,64,1.0,0.0
89,,,64,1.0,0.0
90,1310,,74,,
91,,,74,1.0,0.0
92,1398,,90,,
93,,,90,1.0,0.0
94,,,92,1.0,0.0
95,400,,92,,
96,,,95,0.708333333333,0.291666666667
97,,,95,0.75,0.25
98,80,,29,,
99,3200,,29,,
100,,,45,0.777777777778,0.222222222222
101,13,,45,,
102,2031,,54,,
103,1473,,54,,
104,,,63,0.8,0.2
105,1795,,63,,
106,655,,27,,
107,,,27,1.0,0.0
108,,,106,0.5,0.5
109,1304,,106,,
110,755,,33,,
111,4340,,33,,
112,751,,110,,
113,,,110,0.8,0.2
114,,,81,1.0,0.0
115,,,81,0.4,0.6
116,39,,82,,
117,,,82,0.75,0.25
118,,,51,1.0,0.0
119,80,,51,,
120,,,119,1.0,0.0
121,160,,119,,
122,,,121,1.0,0.0
123,258,,121,,
124,,,123,0.5,0.5
125,240,,123,,
126,,,125,1.0,0.0
127,502,,125,,
128,,,127,0.75,0.25
129,,,127,0.857142857143,0.142857142857
130,1623,,105,,
131,,,105,0.555555555556,0.444444444444
132,656,,109,,
133,,,109,1.0,0.0
134,,,35,0.833333333333,0.166666666667
135,1137,,35,,
136,1062,,112,,
137,,,112,1.0,0.0
138,1881,,80,,
139,,,80,0.833333333333,0.166666666667
140,2196,,138,,
141,,,138,1.0,0.0
142,,,79,1.0,0.0
143,,,79,0.666666666667,0.333333333333
144,194,,116,,
145,,,116,0.5,0.5
146,,,99,0.5,0.5
147,2720,,99,,
148,,,47,1.0,0.0
149,240,,47,,
150,,,149,1.0,0.0
151,,,149,1.0,0.0
152,,,101,0.0,1.0
153,0,,101,,
154,,,153,1.0,0.0
155,93,,153,,
156,,,155,0.8,0.2
157,,,155,0.833333333333,0.166666666667
158,515,,130,,
159,4679,,130,,
160,,,132,1.0,0.0
161,,,132,0.428571428571,0.571428571429
162,1220,,37,,
163,1216,,37,,
164,,,135,0.75,0.25
165,1055,,135,,
166,,,77,1.0,0.0
167,,,77,0.875,0.125
168,560,,144,,
169,,,144,1.0,0.0
170,,,168,0.875,0.125
171,,,168,1.0,0.0
172,,,162,0.888888888889,0.111111111111
173,,,162,0.0,1.0
174,1139,,165,,
175,,,165,1.0,0.0
176,,,174,1.0,0.0
177,,,174,1.0,0.0
178,1310,,136,,
179,,,136,0.5,0.5
180,,,147,1.0,0.0
181,,,147,0.5,0.5
182,2356,,140,,
183,,,140,0.857142857143,0.142857142857
184,2436,,182,,
185,1474,,182,,
186,2357,,184,,
187,,,184,0.857142857143,0.142857142857
188,105,,186,,
189,20,,186,,
190,,,188,1.0,0.0
191,4039,,188,,
192,,,191,1.0,0.0
193,,,191,0.8,0.2
194,,,189,1.0,0.0
195,,,189,0.5,0.5
196,,,185,1.0,0.0
197,,,185,0.5,0.5
198,194,,50,,
199,,,50,1.0,0.0
200,,,103,1.0,0.0
201,,,103,0.666666666667,0.333333333333
202,,,159,0.666666666667,0.333333333333
203,,,159,1.0,0.0
204,,,59,0.555555555556,0.444444444444
205,,,59,1.0,0.0
206,,,163,0.2,0.8
207,,,163,1.0,0.0
208,660,,178,,
209,,,178,0.6,0.4
210,4271,,208,,
211,,,208,0.333333333333,0.666666666667
212,1940,,210,,
213,,,210,0.857142857143,0.142857142857
214,,,111,1.0,0.0
215,,,111,0.5,0.5
216,,,98,0.0,1.0
217,160,,98,,
218,,,217,1.0,0.0
219,240,,217,,
220,,,219,1.0,0.0
221,1316,,219,,
222,1317,,221,,
223,,,221,1.0,0.0
224,,,222,0.444444444444,0.555555555556
225,,,222,1.0,0.0
226,,,198,0.5,0.5
227,1543,,198,,
228,,,227,0.666666666667,0.333333333333
229,,,227,1.0,0.0
230,,,102,1.0,0.0
231,,,102,0.833333333333,0.166666666667
232,,,158,1.0,0.0
233,,,158,0.5,0.5
234,,,61,0.777777777778,0.222222222222
235,,,61,0.0,1.0
236,,,212,1.0,0.0
237,,,212,0.8,0.2
